,reg_1,reg_2
858,Green Valley,Sonoma
859,Napa Valley,Napa
860,Alexander Valley,Sonoma
861,Columbia Valley (WA),Columbia Valley
862,Columbia Valley (WA),Columbia Valley
863,Napa Valley,Napa
864,Columbia Valley (WA),Columbia Valley
865,Columbia Valley (WA),Columbia Valley
866,California,California Other
867,Lodi,Central Valley
868,California,California Other
869,Edna Valley,Central Coast
870,Sonoma County,Sonoma
871,Alexander Valley,Sonoma
872,California,California Other
873,Amador County,Sierra Foothills
874,California,California Other
875,Alexander Valley,Sonoma
876,Temecula Valley,South Coast
877,Hudson River Region,New York Other
878,Wahluke Slope,Columbia Valley
879,Yakima Valley,Columbia Valley
880,Columbia Valley (WA),Columbia Valley
881,Howell Mountain,Napa
882,Columbia Valley (WA),Columbia Valley
883,Columbia Valley (WA),Columbia Valley
884,Yountville,Napa
885,Napa Valley,Napa
886,Spring Mountain District,Napa
887,Russian River Valley,Sonoma
888,Columbia Valley (WA),Columbia Valley
889,Sonoma Coast,Sonoma
890,Columbia Valley (WA),Columbia Valley
891,Walla Walla Valley (WA),Columbia Valley
892,Sta. Rita Hills,Central Coast
893,Horse Heaven Hills,Columbia Valley
894,Spring Mountain District,Napa
895,Carneros,Napa-Sonoma
896,Stags Leap District,Napa
897,Santa Maria Valley,Central Coast
898,Russian River Valley,Sonoma
899,Sonoma Valley,Sonoma
900,Napa Valley,Napa
901,Santa Barbara County,Central Coast
902,Edna Valley,Central Coast
903,Green Valley,Sonoma
904,Santa Lucia Highlands,Central Coast
905,Russian River Valley,Sonoma
906,Lodi,Central Valley
907,Cucamonga Valley,South Coast
908,Lodi,Central Valley
909,Calistoga,Napa
910,California,California Other
911,Napa Valley,Napa
912,California,California Other
913,California,California Other
914,Shenandoah Valley (CA),Sierra Foothills
915,Sonoma County,Sonoma
916,Lodi,Central Valley
917,California,California Other
918,Paso Robles,Central Coast
919,Russian River Valley,Sonoma
920,California,California Other
921,Monterey,Central Coast
922,Monterey,Central Coast
923,Napa Valley,Napa
924,Carneros,Napa-Sonoma
925,Carneros,Napa-Sonoma
926,California,California Other
927,Dunnigan Hills,Central Valley
928,California,California Other
929,California,California Other
930,Paso Robles,Central Coast
931,Paso Robles,Central Coast
932,Dry Creek Valley,Sonoma
933,California,California Other
934,California,California Other
935,Seneca Lake,Finger Lakes
936,Horse Heaven Hills,Columbia Valley
937,Oakville,Napa
938,Columbia Valley (WA),Columbia Valley
939,Yakima Valley,Columbia Valley
940,Oakville,Napa
941,Columbia Valley (WA),Columbia Valley
942,Columbia Valley (WA),Columbia Valley
943,Amador County,Sierra Foothills
944,Calistoga,Napa
945,Columbia Valley (WA),Columbia Valley
946,Knights Valley,Sonoma
947,Washington,Washington Other
948,California,California Other
949,California,California Other
950,Columbia Valley (WA),Columbia Valley
951,Santa Lucia Highlands,Central Coast
952,Wahluke Slope,Columbia Valley
953,Dry Creek Valley,Sonoma
954,Dundee Hills,Willamette Valley
955,Paso Robles,Central Coast
956,Sta. Rita Hills,Central Coast
957,Paso Robles,Central Coast
958,Sonoma Coast,Sonoma
959,Sonoma Mountain,Sonoma
960,Calistoga,Napa
961,Columbia Valley (WA),Columbia Valley
962,Paso Robles,Central Coast
963,Fiddletown,Sierra Foothills
964,Napa Valley,Napa
965,Sta. Rita Hills,Central Coast
966,Santa Ynez Valley,Central Coast
967,Paso Robles,Central Coast
968,Paso Robles,Central Coast
969,Columbia Valley (WA),Columbia Valley
970,Oregon,Oregon Other
971,Santa Cruz Mountains,Central Coast
972,Rogue Valley,Southern Oregon
973,Russian River Valley,Sonoma
974,Sonoma Coast,Sonoma
975,Dry Creek Valley,Sonoma
976,Dry Creek Valley,Sonoma
977,Lodi,Central Valley
978,Alexander Valley,Sonoma
979,Amador County,Sierra Foothills
980,North Fork of Long Island,Long Island
981,Columbia Valley (WA),Columbia Valley
982,Shenandoah Valley (CA),Sierra Foothills
983,Wahluke Slope,Columbia Valley
984,Wahluke Slope,Columbia Valley
985,Dundee Hills,Willamette Valley
986,California,California Other
987,Sonoma County,Sonoma
988,Sonoma County,Sonoma
989,Bennett Valley,Sonoma
990,Dundee Hills,Willamette Valley
991,Paso Robles,Central Coast
992,Paso Robles,Central Coast
993,Sonoma County,Sonoma
994,Russian River Valley,Sonoma
995,Livermore Valley,Central Coast
996,Paso Robles,Central Coast
997,Napa Valley,Napa
998,Russian River Valley,Sonoma
999,Paso Robles,Central Coast
1000,Napa Valley,Napa
1001,Columbia Valley (WA),Columbia Valley
1002,Walla Walla Valley (WA),Columbia Valley
1003,Columbia Valley (WA),Columbia Valley
1004,Napa Valley,Napa
1005,Walla Walla Valley (WA),Columbia Valley
1006,Walla Walla Valley (WA),Columbia Valley
1007,Sonoma Coast,Sonoma
1008,Columbia Valley (WA),Columbia Valley
1009,Columbia Valley (WA),Columbia Valley
1010,Red Mountain,Columbia Valley
1011,Columbia Valley (WA),Columbia Valley
1012,Napa Valley,Napa
1013,Paso Robles,Central Coast
1014,Napa Valley,Napa
1015,Napa Valley,Napa
1016,Yakima Valley,Columbia Valley
1017,Yakima Valley,Columbia Valley
1018,Ancient Lakes,Columbia Valley
1019,Columbia Valley (WA),Columbia Valley
1020,Washington,Washington Other
1021,Paso Robles,Central Coast
1022,Sonoma County,Sonoma
1023,Rogue Valley,Southern Oregon
1024,Napa Valley,Napa
1025,Amador County,Sierra Foothills
1026,Columbia Gorge (WA),Washington Other
1027,Eola-Amity Hills,Willamette Valley
1028,Rutherford,Napa
1029,Sonoma Coast,Sonoma
1030,Columbia Valley (WA),Columbia Valley
1031,Yakima Valley,Columbia Valley
1032,Green Valley,Sonoma
1033,Sta. Rita Hills,Central Coast
1034,Napa Valley,Napa
1035,Napa Valley,Napa
1036,Horse Heaven Hills,Columbia Valley
1037,Livermore Valley,Central Coast
1038,Columbia Valley (WA),Columbia Valley
1039,Yakima Valley,Columbia Valley
1040,Knights Valley,Sonoma
1041,Columbia Valley (WA),Columbia Valley
1042,Napa Valley,Napa
1043,Red Mountain,Columbia Valley
1044,Santa Ynez Valley,Central Coast
1045,Santa Cruz Mountains,Central Coast
1046,Paso Robles,Central Coast
1047,Paso Robles,Central Coast
1048,California,California Other
1049,Napa Valley,Napa
1050,Russian River Valley,Sonoma
1051,Lodi,Central Valley
1052,Paso Robles,Central Coast
1053,Rogue Valley,Southern Oregon
1054,California,California Other
1055,California,California Other
1056,Paso Robles,Central Coast
1057,California,California Other
1058,Carneros,Napa-Sonoma
1059,Columbia Valley (WA),Columbia Valley
1060,Livermore Valley,Central Coast
1061,Washington,Washington Other
1062,Walla Walla Valley (WA),Columbia Valley
1063,Columbia Valley (WA),Columbia Valley
1064,Sonoma Valley,Sonoma
1065,Wahluke Slope,Columbia Valley
1066,California,California Other
1067,Sonoma-Napa,Napa-Sonoma
1068,Napa Valley,Napa
1069,Paicines,Central Coast
1070,Mount Veeder,Napa
1071,Green Valley,Sonoma
1072,Columbia Valley (WA),Columbia Valley
1073,Paso Robles,Central Coast
1074,North Fork of Long Island,Long Island
1075,Sonoma Coast,Sonoma
1076,Napa Valley,Napa
1077,Wahluke Slope,Columbia Valley
1078,Ancient Lakes,Columbia Valley
1079,California,California Other
1080,Napa Valley,Napa
1081,Russian River Valley,Sonoma
1082,Sonoma County,Sonoma
1083,Walla Walla Valley (WA),Columbia Valley
1084,Cucamonga Valley,South Coast
1085,Dry Creek Valley,Sonoma
1086,Napa Valley,Napa
1087,Napa Valley,Napa
1088,Alexander Valley,Sonoma
1089,Dundee Hills,Willamette Valley
1090,Paso Robles,Central Coast
1091,Sonoma Valley,Sonoma
1092,Chehalem Mountains,Willamette Valley
1093,Paso Robles,Central Coast
1094,Russian River Valley,Sonoma
1095,Napa Valley,Napa
1096,California,California Other
1097,Columbia Valley (WA),Columbia Valley
1098,Columbia Valley (WA),Columbia Valley
1099,Napa Valley,Napa
1100,Yakima Valley,Columbia Valley
1101,California,California Other
1102,Placer County,Sierra Foothills
1103,Sonoma Coast,Sonoma
1104,Sonoma County,Sonoma
1105,Napa Valley,Napa
1106,Walla Walla Valley (WA),Columbia Valley
1107,Walla Walla Valley (WA),Columbia Valley
1108,Monterey,Central Coast
1109,Red Mountain,Columbia Valley
1110,Napa Valley,Napa
1111,Edna Valley,Central Coast
1112,Russian River Valley,Sonoma
1113,Santa Barbara County,Central Coast
1114,Walla Walla Valley (WA),Columbia Valley
1115,Walla Walla Valley (WA),Columbia Valley
1116,Walla Walla Valley (WA),Columbia Valley
1117,Russian River Valley,Sonoma
1118,Lodi,Central Valley
1119,Sonoma Valley,Sonoma
1120,Oak Knoll District,Napa
1121,California,California Other
1122,Sonoma Coast,Sonoma
1123,Rutherford,Napa
1124,Alexander Valley,Sonoma
1125,Carneros,Napa-Sonoma
1126,Sta. Rita Hills,Central Coast
1127,Columbia Valley (WA),Columbia Valley
1128,Carneros,Napa-Sonoma
1129,Dry Creek Valley,Sonoma
1130,Seneca Lake,Finger Lakes
1131,Seneca Lake,Finger Lakes
1132,California,California Other
1133,Temecula Valley,South Coast
1134,Napa Valley,Napa
1135,Oakville,Napa
1136,Napa Valley,Napa
1137,Amador County,Sierra Foothills
1138,Amador County,Sierra Foothills
1139,Dundee Hills,Willamette Valley
1140,Sonoma Coast,Sonoma
1141,Lodi,Central Valley
1142,Carneros,Napa-Sonoma
1143,Yakima Valley,Columbia Valley
1144,Alexander Valley,Sonoma
1145,Columbia Valley (WA),Columbia Valley
1146,Columbia Valley (WA),Columbia Valley
1147,Yorkville Highlands,North Coast
1148,Eola-Amity Hills,Willamette Valley
1149,Walla Walla Valley (WA),Columbia Valley
1150,Dry Creek Valley,Sonoma
1151,Sonoma Coast,Sonoma
1152,Russian River Valley,Sonoma
1153,Lodi,Central Valley
1154,Napa County-Sonoma County,Napa-Sonoma
1155,Applegate Valley,Southern Oregon
1156,Sonoma County,Sonoma
1157,Napa Valley,Napa
1158,California,California Other
1159,Solano County,North Coast
1160,Russian River Valley,Sonoma
1161,Paso Robles,Central Coast
1162,Dry Creek Valley,Sonoma
1163,Santa Barbara County,Central Coast
1164,Umpqua Valley,Southern Oregon
1165,Napa Valley,Napa
1166,Napa Valley,Napa
1167,Columbia Gorge (WA),Washington Other
1168,Eola-Amity Hills,Willamette Valley
1169,Yorkville Highlands,North Coast
1170,Wahluke Slope,Columbia Valley
1171,Paso Robles,Central Coast
1172,Paso Robles,Central Coast
1173,Carneros,Napa-Sonoma
1174,California,California Other
1175,California,California Other
1176,California,California Other
1177,Russian River Valley,Sonoma
1178,California,California Other
1179,Chehalem Mountains,Willamette Valley
1180,Paso Robles,Central Coast
1181,Santa Cruz Mountains,Central Coast
1182,Sonoma County,Sonoma
1183,North Fork of Long Island,Long Island
1184,California,California Other
1185,Yakima Valley,Columbia Valley
1186,California,California Other
1187,Adelaida District,Central Coast
1188,Columbia Valley (WA),Columbia Valley
1189,Napa Valley,Napa
1190,Alexander Valley,Sonoma
1191,Oregon,Oregon Other
1192,Chehalem Mountains,Willamette Valley
1193,Napa Valley,Napa
1194,Carneros,Napa-Sonoma
1195,Columbia Valley (WA),Columbia Valley
1196,Carneros,Napa-Sonoma
1197,St. Helena,Napa
1198,Paso Robles,Central Coast
1199,Paso Robles,Central Coast
1200,California,California Other
1201,Columbia Valley (WA),Columbia Valley
1202,Russian River Valley,Sonoma
1203,Horse Heaven Hills,Columbia Valley
1204,Columbia Valley (WA),Columbia Valley
1205,Russian River Valley,Sonoma
1206,Russian River Valley,Sonoma
1207,Russian River Valley,Sonoma
1208,Columbia Valley (WA),Columbia Valley
1209,Russian River Valley,Sonoma
1210,Columbia Valley (WA),Columbia Valley
1211,Walla Walla Valley (WA),Columbia Valley
1212,Ribbon Ridge,Willamette Valley
1213,Temecula Valley,South Coast
1214,Monterey County,Central Coast
1215,Eola-Amity Hills,Willamette Valley
1216,Calistoga,Napa
1217,Columbia Valley (WA),Columbia Valley
1218,Sonoma Coast,Sonoma
1219,North Fork of Long Island,Long Island
1220,Dry Creek Valley,Sonoma
1221,Horse Heaven Hills,Columbia Valley
1222,Santa Maria Valley,Central Coast
1223,Santa Barbara County,Central Coast
1224,Horse Heaven Hills,Columbia Valley
1225,Russian River Valley,Sonoma
1226,Cayuga Lake,Finger Lakes
1227,Paso Robles,Central Coast
1228,Napa Valley,Napa
1229,Napa Valley,Napa
1230,Paso Robles,Central Coast
1231,Sonoma County,Sonoma
1232,Napa Valley,Napa
1233,Sonoma Coast,Sonoma
1234,Oregon,Oregon Other
1235,Paso Robles,Central Coast
1236,Paso Robles,Central Coast
1237,California,California Other
1238,Paso Robles,Central Coast
1239,Umpqua Valley,Southern Oregon
1240,Santa Maria Valley,Central Coast
1241,Columbia Valley (WA),Columbia Valley
1242,Chalk Hill,Sonoma
1243,Santa Barbara County,Central Coast
1244,Alexander Valley,Sonoma
1245,Red Mountain,Columbia Valley
1246,Santa Ynez Valley,Central Coast
1247,Napa Valley,Napa
1248,Horse Heaven Hills,Columbia Valley
1249,St. Helena,Napa
1250,Columbia Valley (WA),Columbia Valley
1251,Spring Mountain District,Napa
1252,Santa Barbara County,Central Coast
1253,Walla Walla Valley (WA),Columbia Valley
1254,Sonoma Coast,Sonoma
1255,Happy Canyon of Santa Barbara,Central Coast
1256,Lodi,Central Valley
1257,California,California Other
1258,Lodi,Central Valley
1259,California,California Other
1260,Sonoma Coast,Sonoma
1261,Russian River Valley,Sonoma
1262,Santa Lucia Highlands,Central Coast
1263,Russian River Valley,Sonoma
1264,Eola-Amity Hills,Willamette Valley
1265,Eola-Amity Hills,Willamette Valley
1266,Santa Barbara County,Central Coast
1267,Santa Ynez Valley,Central Coast
1268,Columbia Valley (WA),Columbia Valley
1269,Columbia Valley (WA),Columbia Valley
1270,California,California Other
1271,Paso Robles,Central Coast
1272,Napa Valley,Napa
1273,California,California Other
1274,Paso Robles,Central Coast
1275,Sonoma County,Sonoma
1276,Seneca Lake,Finger Lakes
1277,Ancient Lakes,Columbia Valley
1278,New York,New York Other
1279,Napa Valley,Napa
1280,Carneros,Napa-Sonoma
1281,Russian River Valley,Sonoma
1282,Napa Valley,Napa
1283,Sonoma Coast,Sonoma
1284,North Fork of Long Island,Long Island
1285,Columbia Valley (WA),Columbia Valley
1286,Sonoma Valley,Sonoma
1287,Columbia Valley (WA),Columbia Valley
1288,Napa Valley,Napa
1289,Washington,Washington Other
1290,Seneca Lake,Finger Lakes
1291,Red Mountain,Columbia Valley
1292,North Fork of Long Island,Long Island
1293,Yakima Valley,Columbia Valley
1294,Yakima Valley,Columbia Valley
1295,Monterey,Central Coast
1296,California,California Other
1297,Russian River Valley,Sonoma
1298,California,California Other
1299,Santa Maria Valley,Central Coast
1300,Santa Lucia Highlands,Central Coast
1301,Chalone,Central Coast
1302,California,California Other
1303,Napa Valley,Napa
1304,Napa Valley,Napa
1305,Sonoma Coast,Sonoma
1306,Russian River Valley,Sonoma
1307,Rutherford,Napa
1308,Dundee Hills,Willamette Valley
1309,Howell Mountain,Napa
1310,Santa Barbara County,Central Coast
1311,Santa Cruz Mountains,Central Coast
1312,Napa Valley,Napa
1313,Napa Valley,Napa
1314,Sta. Rita Hills,Central Coast
1315,Russian River Valley,Sonoma
1316,Santa Ynez Valley,Central Coast
1317,Columbia Gorge (OR),Oregon Other
1318,Napa Valley,Napa
1319,Carneros,Napa-Sonoma
1320,Howell Mountain,Napa
1321,Oregon,Oregon Other
1322,Chehalem Mountains,Willamette Valley
1323,Russian River Valley,Sonoma
1324,Carneros,Napa-Sonoma
1325,Rutherford,Napa
1326,Washington,Washington Other
1327,Columbia Valley (WA),Columbia Valley
1328,Washington,Washington Other
1329,Sonoma Valley,Sonoma
1330,Napa Valley,Napa
1331,Russian River Valley,Sonoma
1332,Napa Valley,Napa
1333,Paso Robles,Central Coast
1334,Applegate Valley,Southern Oregon
1335,Sonoma County,Sonoma
1336,Carneros,Napa-Sonoma
1337,Oregon,Oregon Other
1338,Carneros,Napa-Sonoma
1339,Santa Cruz Mountains,Central Coast
1340,Santa Lucia Highlands,Central Coast
1341,Applegate Valley,Southern Oregon
1342,Dry Creek Valley,Sonoma
1343,Santa Clara Valley,Central Coast
1344,Sonoma County,Sonoma
1345,California,California Other
1346,Dry Creek Valley,Sonoma
1347,California,California Other
1348,Napa Valley,Napa
1349,Santa Ynez Valley,Central Coast
1350,Livermore Valley,Central Coast
1351,California,California Other
1352,Napa Valley,Napa
1353,Columbia Valley (WA),Columbia Valley
1354,Napa Valley,Napa
1355,Santa Barbara County,Central Coast
1356,Dry Creek Valley,Sonoma
1357,St. Helena,Napa
1358,Russian River Valley,Sonoma
1359,Santa Barbara County,Central Coast
1360,Columbia Valley (WA),Columbia Valley
1361,Russian River Valley,Sonoma
1362,Paso Robles,Central Coast
1363,Horse Heaven Hills,Columbia Valley
1364,Russian River Valley,Sonoma
1365,Paso Robles,Central Coast
1366,Napa Valley,Napa
1367,Chalk Hill,Sonoma
1368,Red Mountain,Columbia Valley
1369,Wahluke Slope,Columbia Valley
1370,Washington,Washington Other
1371,Russian River Valley,Sonoma
1372,Paso Robles,Central Coast
1373,Columbia Valley (WA),Columbia Valley
1374,Yakima Valley,Columbia Valley
1375,Sonoma County,Sonoma
1376,Santa Ynez Valley,Central Coast
1377,Horse Heaven Hills,Columbia Valley
1378,Columbia Valley (WA),Columbia Valley
1379,Lake Chelan,Columbia Valley
1380,Red Mountain,Columbia Valley
1381,Yakima Valley,Columbia Valley
1382,Columbia Valley (WA),Columbia Valley
1383,Hudson River Region,New York Other
1384,Columbia Valley (WA),Columbia Valley
1385,Columbia Valley (WA),Columbia Valley
1386,Paso Robles,Central Coast
1387,Sonoma County,Sonoma
1388,Russian River Valley,Sonoma
1389,Columbia Valley (WA),Columbia Valley
1390,Napa County-Sonoma County,Napa-Sonoma
1391,Sonoma County,Sonoma
1392,Walla Walla Valley (WA),Columbia Valley
1393,North Fork of Long Island,Long Island
1394,Columbia Valley (WA),Columbia Valley
1395,Knights Valley,Sonoma
1396,El Dorado,Sierra Foothills
1397,Columbia Valley (WA),Columbia Valley
1398,Dry Creek Valley,Sonoma
1399,Temecula Valley,South Coast
1400,Sonoma County,Sonoma
1401,Rattlesnake Hills,Columbia Valley
1402,Alexander Valley,Sonoma
1403,Santa Barbara County,Central Coast
1404,Napa Valley,Napa
1405,Horse Heaven Hills,Columbia Valley
1406,El Dorado,Sierra Foothills
1407,Santa Cruz Mountains,Central Coast
1408,Rockpile,Sonoma
1409,Wahluke Slope,Columbia Valley
1410,Sonoma Valley,Sonoma
1411,Umpqua Valley,Southern Oregon
1412,Napa Valley,Napa
1413,Napa Valley,Napa
1414,Napa Valley,Napa
1415,Napa Valley,Napa
1416,Dry Creek Valley,Sonoma
1417,Napa Valley,Napa
1418,Napa Valley,Napa
1419,Russian River Valley,Sonoma
